name,time,threads
late_parallel,5.86948,30.7617,5,1
late_parallel,3.12256,30.1723,9,2
late_parallel,2.20314,30.9496,13,3
late_parallel,1.7514,30.4139,16,4
late_parallel,1.43299,30.3249,19,5
late_parallel,1.25167,30.2967,22,6
late_parallel,1.09991,30.2842,25,7
late_parallel,0.983154,30.5299,28,8
late_parallel,0.899912,30.9029,31,9
late_parallel,0.847819,30.4681,33,10
late_parallel,0.86052,30.432,35,11
late_parallel,0.739657,30.3105,37,12
late_parallel,0.707618,30.0435,38,13
late_parallel,0.670253,30.2677,39,14
late_parallel,0.641723,30.3788,39,15
late_parallel,0.681343,30.5801,42,16
late_parallel,0.613231,30.6957,44,17
late_parallel,0.589608,30.6983,46,18
late_parallel,0.565518,30.4865,48,19
late_parallel,0.55951,30.0081,48,20
late_serial,2.10892,30.4346,14,1
earley_serial,12.9541,39.0032,3,1
