name,time,threads
late_parallel,0.149061,15.0982,100,1
late_parallel,0.10068,10.2591,100,2
late_parallel,0.0772831,7.85935,100,3
late_parallel,0.0663547,6.82595,100,4
late_parallel,0.061938,6.36717,100,5
late_parallel,0.0563445,5.76207,100,6
late_parallel,0.0525327,5.36277,100,7
late_parallel,0.0499201,5.14779,100,8
late_parallel,0.0482333,4.90061,100,9
late_parallel,0.0459588,4.7417,100,10
late_parallel,0.0452256,4.5778,100,11
late_parallel,0.0436014,4.40344,100,12
late_parallel,0.0412603,4.26364,100,13
late_parallel,0.0409749,4.37571,100,14
late_parallel,0.0401583,4.1965,100,15
late_parallel,0.0394526,4.20829,100,16
late_parallel,0.0385083,4.04709,100,17
late_parallel,0.0378151,7.99212,100,18
late_parallel,0.0374101,7.50603,100,19
late_parallel,0.0367897,7.12439,100,20
late_serial,0.0759208,7.72759,100,1
earley_serial,0.100766,10.1176,100,1
