name,time,threads
late_parallel,1.85392,30.3695,16,1
late_parallel,1.04295,30.6674,28,2
late_parallel,0.71705,30.4472,39,3
late_parallel,0.590764,30.3141,48,4
late_parallel,0.480515,30.3454,57,5
late_parallel,0.455217,30.1979,65,6
late_parallel,0.371565,30.1808,74,7
late_parallel,0.337773,30.1876,82,8
late_parallel,0.308605,30.2421,89,9
late_parallel,0.311801,30.2619,95,10
late_parallel,0.295438,30.1298,100,11
late_parallel,0.258947,28.2906,100,12
late_parallel,0.255484,27.201,100,13
late_parallel,0.237334,25.7397,100,14
late_parallel,0.234433,26.5384,100,15
late_parallel,0.218106,23.8086,100,16
late_parallel,0.22494,26.747,100,17
late_parallel,0.217308,30.2095,92,18
late_parallel,0.198313,30.1778,90,19
late_parallel,0.199615,30.003,72,20
late_serial,0.720553,30.6401,42,1
earley_serial,2.1072,30.2279,14,1
