name,time,threads
late_parallel,0.0246283,2.95266,100,1,58002
late_parallel,0.0175747,1.81498,100,2,58002
late_parallel,0.0151096,1.55569,100,3,58002
late_parallel,0.0144012,1.48245,100,4,58002
late_parallel,0.0137656,1.40163,100,5,58002
late_parallel,0.0129803,1.3097,100,6,58002
late_parallel,0.0121428,1.22678,100,7,58002
late_parallel,0.0119323,1.2218,100,8,58002
late_parallel,0.0117624,1.18608,100,9,58002
late_parallel,0.0114203,1.16433,100,10,58002
late_parallel,0.0114371,1.15697,100,11,58002
late_parallel,0.0112439,1.13956,100,12,58002
late_parallel,0.0111679,1.13274,100,13,58002
late_parallel,0.0111496,1.25735,100,14,58002
late_parallel,0.0111843,1.63423,100,15,58002
late_parallel,0.0111661,1.45514,100,16,58002
late_parallel,0.0174375,2.18805,100,17,58002
late_parallel,0.0111669,1.37548,100,18,58002
late_parallel,0.0224411,2.41226,100,19,58002
late_parallel,0.0113467,1.26943,100,20,58002
late_serial,0.0127164,1.40496,100,1,58002
earley_serial,0.00975874,0.984277,100,1,58002
